Model,Confusion Matrix
Logistic Regression,"[[832 204]
 [119 254]]"
Decision Tree Classifier,"[[797 239]
 [111 262]]"
Random Forset Classifier ,"[[846 190]
 [138 235]]"
Gradient Boosting Classifier,"[[839 197]
 [130 243]]"
Support Vector Classifier,"[[700 336]
 [ 83 290]]"
K Neighbors Classifier,"[[728 308]
 [112 261]]"
